coin_id,date,open_usd,high_usd,low_usd,close_usd,volume_usd,market_cap_usd,extracted_at
bitcoin,2026-02-12,70124.0,70394.0,65932.0,66938.0,,,2026-05-14 21:43:21
bitcoin,2026-02-16,66994.0,70898.0,65243.0,68717.0,44139541277.476685,1373546624939.8215,2026-05-14 21:43:21
bitcoin,2026-02-20,68781.0,69999.0,65734.0,66919.0,34180839195.07364,1338094580095.8176,2026-05-14 21:43:21
bitcoin,2026-02-24,66957.0,68637.0,63963.0,64578.0,56724400502.91585,1291178509392.7466,2026-05-14 21:43:21
bitcoin,2026-02-28,64646.0,69487.0,62803.0,65884.0,43031961580.21165,1317715385672.9202,2026-05-14 21:43:21
bitcoin,2026-03-04,65879.0,69851.0,63177.0,68322.0,52704039830.20494,1367228918356.8262,2026-05-14 21:43:21
bitcoin,2026-03-08,68292.0,73953.0,67038.0,67271.0,24588849466.218872,1345067153653.0642,2026-05-14 21:43:21
bitcoin,2026-03-12,67268.0,71612.0,65727.0,70227.0,48188681300.73879,1405229147518.9683,2026-05-14 21:43:21
bitcoin,2026-03-16,70203.0,73839.0,69265.0,72682.0,29137209887.5333,1453818980888.097,2026-05-14 21:43:21
bitcoin,2026-03-20,72799.0,75937.0,68934.0,69871.0,46069506172.99344,1397132369157.6367,2026-05-14 21:43:21
bitcoin,2026-03-24,69912.0,71646.0,67564.0,70893.0,52502731112.03615,1417921177640.1455,2026-05-14 21:43:21
bitcoin,2026-03-28,70917.0,71922.0,65587.0,66321.0,48874426380.128494,1326110397917.7085,2026-05-14 21:43:21
bitcoin,2026-04-01,66328.0,68286.0,65112.0,68232.0,56210727882.161446,1364706648348.3545,2026-05-14 21:43:21
bitcoin,2026-04-05,68231.0,69136.0,65819.0,67304.0,21516550336.856274,1346790078680.91,2026-05-14 21:43:21
bitcoin,2026-04-09,67306.0,72698.0,66634.0,71117.0,42583999503.6708,1423286125223.942,2026-05-14 21:43:21
bitcoin,2026-04-13,71004.0,73721.0,70522.0,70757.0,30101377740.873566,1415861769817.8752,2026-05-14 21:43:21
bitcoin,2026-04-17,70651.0,75829.0,70627.0,75149.0,44500754086.976234,1503597305333.8933,2026-05-14 21:43:21
bitcoin,2026-04-21,75135.0,78240.0,73854.0,75875.0,48152404105.554855,1518784350281.418,2026-05-14 21:43:21
bitcoin,2026-04-25,75885.0,79389.0,74935.0,77445.0,33584952477.909107,1550504073873.627,2026-05-14 21:43:21
bitcoin,2026-04-29,77490.0,79400.0,75706.0,76345.0,32683167166.924606,1528431321586.3352,2026-05-14 21:43:21
bitcoin,2026-05-03,76343.0,79005.0,75103.0,78655.0,18618912381.93079,1574625317385.0962,2026-05-14 21:43:21
bitcoin,2026-05-07,78666.0,82752.0,78095.0,81425.0,41133090710.83387,1630523861201.5588,2026-05-14 21:43:21
bitcoin,2026-05-11,81450.0,82348.0,79287.0,82146.0,28066045740.096794,1644787760960.26,2026-05-14 21:43:21
ethereum,2026-02-12,2103.64,2119.32,1911.96,1939.43,,,2026-05-14 21:44:25
ethereum,2026-02-16,1940.58,2100.05,1902.17,1963.96,31079407276.992832,237059805728.8081,2026-05-14 21:44:25
ethereum,2026-02-20,1965.16,2030.77,1914.26,1946.91,19134139969.172134,235006669215.33435,2026-05-14 21:44:25
ethereum,2026-02-24,1948.07,1994.42,1845.98,1853.7,31366211602.76786,223731652427.76767,2026-05-14 21:44:25
ethereum,2026-02-28,1856.09,2121.02,1807.63,1931.32,21664624267.05581,233144085915.65958,2026-05-14 21:44:25
ethereum,2026-03-04,1930.31,2072.0,1841.29,1982.46,23812766657.95574,239664309988.1716,2026-05-14 21:44:25
ethereum,2026-03-08,1981.4,2192.82,1948.58,1969.69,9708504242.945522,237705413185.15485,2026-05-14 21:44:25
ethereum,2026-03-12,1969.78,2084.64,1922.33,2051.73,19128555868.09481,247646084116.33203,2026-05-14 21:44:25
ethereum,2026-03-16,2052.16,2200.03,2020.71,2175.06,14747913813.60742,262512054941.10397,2026-05-14 21:44:25
ethereum,2026-03-20,2177.72,2377.64,2104.6,2137.45,24108916783.710667,258058898457.4955,2026-05-14 21:44:25
ethereum,2026-03-24,2136.1,2186.9,2030.61,2151.5,28068766677.710217,259554597861.1581,2026-05-14 21:44:25
ethereum,2026-03-28,2150.13,2196.43,1972.03,1991.9,18794766454.176136,240350263112.52786,2026-05-14 21:44:25
ethereum,2026-04-01,1990.82,2114.72,1947.32,2104.88,21496491501.1208,254040532514.3724,2026-05-14 21:44:25
ethereum,2026-04-05,2103.22,2161.5,2018.64,2064.99,6614766426.338903,249240961118.02728,2026-05-14 21:44:25
ethereum,2026-04-09,2065.52,2265.34,2024.21,2190.48,21125273662.90435,264371759670.03903,2026-05-14 21:44:25
ethereum,2026-04-13,2189.15,2322.45,2160.4,2192.16,14967971355.94253,264544626755.8191,2026-05-14 21:44:25
ethereum,2026-04-17,2189.6,2401.35,2178.19,2348.7,20472335141.626884,283412286692.5497,2026-05-14 21:44:25
ethereum,2026-04-21,2349.8,2462.81,2257.91,2315.02,23156669964.6911,279392380110.18536,2026-05-14 21:44:25
ethereum,2026-04-25,2316.25,2420.19,2292.92,2315.51,13635648616.699389,279460269416.0835,2026-05-14 21:44:25
ethereum,2026-04-29,2315.35,2398.26,2263.65,2289.17,12066840793.75513,276138338870.7167,2026-05-14 21:44:25
ethereum,2026-05-03,2289.49,2344.02,2224.38,2316.33,6497751064.097067,279471189560.5661,2026-05-14 21:44:25
ethereum,2026-05-07,2316.46,2420.01,2299.38,2350.48,21825138299.97193,283646020806.41174,2026-05-14 21:44:25
ethereum,2026-05-11,2351.11,2379.14,2268.68,2368.84,17501460235.16661,285963726467.4334,2026-05-14 21:44:25
tether,2026-02-12,0.999565,0.999914,0.999171,0.999412,,,2026-05-14 21:45:28
tether,2026-02-16,0.999411,0.999939,0.99917,0.999591,85838092904.71838,183702555799.0948,2026-05-14 21:45:28
tether,2026-02-20,0.999601,0.999849,0.999424,0.999665,57095665101.92193,183665780089.60416,2026-05-14 21:45:28
